METRO_CODE,METRO_NAME,MLS_CODE,MLS_SHORT_NAME,MLS_LONG_NAME,NUM_LISTINGS
abbeville-ga,"Abbeville, GA",GA_CRISP,GA_CRISP,Crisp Area Board of Realtors Inc,15
abbeville-ga,"Abbeville, GA",GA_TIFT,GA_TIFT,Tiftarea Board of REALTORSÂ®,2
aberdeen,"Aberdeen, WA",NWMLS,NWMLS,Northwest Multiple Listing Service,1390
aberdeen,"Aberdeen, WA",PORTLAND,RMLS,RMLS,3
abilene-ks,"Abilene, KS",KS_HMLS,KS_HMLS,Hays Multiple Listing Service,220
abilene-ks,"Abilene, KS",KS_JCBR,KS_JCBR,Junction City Board of REALTORSÂ®,255
abilene-ks,"Abilene, KS",KS_MAR,KS_MAR,Manhattan Association of Realtors,10
abilene-ks,"Abilene, KS",KS_SMLS,KS_SMLS,Salina Multiple Listing Service,3
abilene-ks,"Abilene, KS",KS_TAAR,KS_TAAR,Topeka Area Association of REALTORS,1
abilene,"Abilene, TX",GDAR,NTREIS,North Texas Real Estate Information Systems,1226
abilene,"Abilene, TX",TX_PMLS,TX_PMLS,Paris Texas Board of REALTORS,1
abilene,"Abilene, TX",TX_SAAR,TX_SAAR,San Angelo Association of Realtors,5
abingdon-va,"Abingdon, VA",NC_HCAR,NC_HCAR,"High Country Association of REALTORS, Inc.",3
abingdon-va,"Abingdon, VA",TNVA_MLS,TNVA_MLS,Tennessee Virginia Regional MLS,583
abingdon-va,"Abingdon, VA",TN_LAMLS,TN_LAMLS,Lakeway Area Association of Realtors,1
abingdon-va,"Abingdon, VA",VA_SWVAR,VA_SWVAR,Southwest Virginia Association of REALTORS,619
acadia-parish-la,"Acadia Parish, LA",LA_RAAMLS,LA_RAAMLS,RealtorÂ® Association of Acadiana,415
acadia-parish-la,"Acadia Parish, LA",LA_SWLAR,LA_SWLAR,Southwest Louisiana Association of REALTORSÂ®,0
ada-ok,"Ada, OK",OK_NORES,OK_NORES,"Northeast Oklahoma Real Estate Services, Inc",230
ada-ok,"Ada, OK",OK_OKC,MLSOK,MLSOK,9
adams-wi,"Adams, WI",MN_ROCH,MN_ROCH,Southeast Minnesota Association of Realtors,0
adams-wi,"Adams, WI",WI_WIREX,WI_WIREX,Wisconsin Real Estate Exchange,2199
adel-ga,"Adel, GA",GA_TIFT,GA_TIFT,Tiftarea Board of REALTORSÂ®,9
adel-ga,"Adel, GA",GA_VBR,GA_VBR,Valdosta Board of REALTORS,113
akron-oh,"Akron, OH",OH_CBR,OH_CBR,Columbus and Central Ohio Regional MLS,1
akron-oh,"Akron, OH",OH_NORMLS,OH_NORMLS,"Northern Ohio Regional Multiple Listing Service, Inc.",4075
alamosa-co,"Alamosa, CO",CO_CREN,CO_CREN,Colorado Real Estate Network,566
alamosa-co,"Alamosa, CO",CO_PAR,CO_PAR,Pueblo Association of Realtors,3
alamosa-co,"Alamosa, CO",ML,Metrolist,"METROLIST, INC., DBA RECOLORADO",403
albany-or,"Albany - Corvallis, OR",OR_MLCOBO,OR_MLCOBO,Central Oregon Association of REALTORS,9
albany-or,"Albany - Corvallis, OR",OR_WVMLS,OR_WVMLS,Willamette Valley Multiple Listing Service,1170
albany-or,"Albany - Corvallis, OR",PORTLAND,RMLS,RMLS,272
albany-ga,"Albany, GA",FIRSTMLS,FMLS,First Multiple Listing Service,1
albany-ga,"Albany, GA",GA_CGMLS,GA_CGMLS,Central Georgia MLS,1
albany-ga,"Albany, GA",GA_CRISP,GA_CRISP,Crisp Area Board of Realtors Inc,1
albany-ga,"Albany, GA",GA_SWGBR,GA_SWGBR,Southwest Georgia Board of Realtors,280
albany-ga,"Albany, GA",METROMLS,GAMLS,Georgia Multiple Listing Service,6
albany-ky,"Albany, KY",KY_SLCBR,KY_SLCBR,Somerset-Lake Cumberland Board of Realtors,83
albany,"Albany, NY",MA_BCMLS,MA_BCMLS,Berkshire County Multiple Listing Service,0
albany,"Albany, NY",NY_ACVMLS,NY_ACVMLS,"Adirondack-Champlain Valley Multiple Listing Service, Inc.",6
albany,"Albany, NY",NY_CGND,NY_CGND,Columbia Greene Northern Dutchess Multiple Listing Service,120
albany,"Albany, NY",NY_GCAR,NY_GCAR,Greater Capital Association of Realtors,9868
albany,"Albany, NY",NY_GENRIS,NYSAMLS,New York State Alliance,2
albany,"Albany, NY",NY_GURBR,NY_GURBR,Mohawk Valley Association of REALTORS,53
albany,"Albany, NY",NY_MLSUC,NY_MLSUC,"Multiple Listing Service of Ulster County, Inc.",15
albany,"Albany, NY",NY_ODBR,NY_ODBR,Otsego-Delaware Board of REALTORS,101
albany,"Albany, NY",NY_WCAR,NY_WCAR,Warren County(NY) Association of REALTORS,332
albany,"Albany, NY",SOLO_4181,SOLO_4181,Hunt Real Estate ERA,76
albany,"Albany, NY",SOLO_4181_AZ,SOLO_4181_AZ,Hunt Real Estate ERA (Phoenix),43
albert-lea-mn,"Albert Lea, MN",MN_RASM,MN_RASM,Realtors Association of Southern Minnesota,4
albert-lea-mn,"Albert Lea, MN",MN_ROCH,MN_ROCH,Southeast Minnesota Association of Realtors,180
albert-lea-mn,"Albert Lea, MN",NSMLS,NorthStarMLS,"Regional Multiple Listing Service of Minnesota, Inc",4
albuquerque,"Albuquerque, NM",NM_RANM,NM_RANM,Realtor Association of New Mexico,3
albuquerque,"Albuquerque, NM",NM_SFAR,NM_SFAR,Santa Fe Association of REALTORS,81
albuquerque,"Albuquerque, NM",NM_SWMLS,NM_SWMLS,Southwest Multiple Listing Service,8109
albuquerque,"Albuquerque, NM",NM_TCAR,NM_TCAR,Taos County Association of Realtors,0
alcona-county-mi,"Alcona County, MI",MI_BCRA,MI_BCRA,Bay County Realtors Association,1
alcona-county-mi,"Alcona County, MI",MI_EUPBR,MI_EUPBR,Eastern Upper Peninsula Board of REALTORSÂ®,0
alcona-county-mi,"Alcona County, MI",MI_FAAR,MI_FAAR,Flint Area Association of Realtors,21
alcona-county-mi,"Alcona County, MI",MI_GRAR,MichRIC,Michigan Regional Information Center,1
alcona-county-mi,"Alcona County, MI",MI_GSAR,MI_GSAR,Greater Shiawassee Association of REALTORS,25
alcona-county-mi,"Alcona County, MI",MI_JMLS,MI_JMLS,Jackson Association of Realtors,0
alcona-county-mi,"Alcona County, MI",MI_MBOR,MI_MBOR,Midland Board of Realtors,0
alcona-county-mi,"Alcona County, MI",MI_NGLRMLS,MI_NGLRMLS,Northern Great Lakes REALTORS MLS,57
alcona-county-mi,"Alcona County, MI",MI_REALCOMP,MI_REALCOMP,Realcomp II LTD,22
alcona-county-mi,"Alcona County, MI",MI_REALSOURCE,MI_REALSOURCE,"MiRealSource, Inc.",20
alcona-county-mi,"Alcona County, MI",MI_WWBR,MI_WWBR,Water Wonderland Board of REALTORS,92
alexandria-la,"Alexandria, LA",LA_CLBOR,LA_CLBOR,Central Louisiana Board of REALTORS,778
alexandria-la,"Alexandria, LA",LA_GFPBR,LA_GFPBR,Greater Fort Polk Area Realtors,1
alexandria-la,"Alexandria, LA",LA_SWLAR,LA_SWLAR,Southwest Louisiana Association of REALTORSÂ®,0
alexandria-la,"Alexandria, LA",SOLO_4113,SOLO_4113,Latter & Blum ERA Powered,143
alexandria-mn,"Alexandria, MN",MN_GAAAR,MN_GAAAR,Greater Alexandria Area Association of Realtors,799
alexandria-mn,"Alexandria, MN",MN_LCAR,MN_LCAR,Lakes Country Association of REALTORS,1
alexandria-mn,"Alexandria, MN",MN_LRAR,MN_LRAR,Lakes Region Association of Realtors,50
alexandria-mn,"Alexandria, MN",NSMLS,NorthStarMLS,"Regional Multiple Listing Service of Minnesota, Inc",68
allegan-county-mi,"Allegan County, MI",MI_GRAR,MichRIC,Michigan Regional Information Center,1503
allegany-county-ny,"Allegany County, NY",NY_ECAR,NY_ECAR,The Elmira-Corning Regional Association of Realtors,13
allegany-county-ny,"Allegany County, NY",NY_GCAR,NY_GCAR,Greater Capital Association of Realtors,0
allegany-county-ny,"Allegany County, NY",NY_GENRIS,NYSAMLS,New York State Alliance,380
allegany-county-ny,"Allegany County, NY",SOLO_4181,SOLO_4181,Hunt Real Estate ERA,34
allegany-county-ny,"Allegany County, NY",SOLO_4181_AZ,SOLO_4181_AZ,Hunt Real Estate ERA (Phoenix),28
alleghany-county-nc,"Alleghany County, NC",CH,"Carolina MLS, Inc.","Carolina Multiple Listing Services, Inc.",3
alleghany-county-nc,"Alleghany County, NC",NC_BCBR,NC_BCBR,Burke County Board of Realtors Multiple Listing Service,0
alleghany-county-nc,"Alleghany County, NC",NC_FRAR,NC_FRAR,Fayetteville Regional Association of Realtors,1
alleghany-county-nc,"Alleghany County, NC",NC_HCAR,NC_HCAR,"High Country Association of REALTORS, Inc.",454
alleghany-county-nc,"Alleghany County, NC",NC_TRIAD,NC_TRIAD,"Triad MLS, Inc",13
alleghany-county-nc,"Alleghany County, NC",NC_WNCRMLS,NC_WNCRMLS,North Carolina Mountain MLS,0
alleghany-county-nc,"Alleghany County, NC",RD,RD,"Triangle MLS, Inc. of North Carolina",4
alleghany-county-nc,"Alleghany County, NC",VA_SWVAR,VA_SWVAR,Southwest Virginia Association of REALTORS,1
allen-parish-la,"Allen Parish, LA",LA_GFPBR,LA_GFPBR,Greater Fort Polk Area Realtors,1
allen-parish-la,"Allen Parish, LA",LA_SWLAR,LA_SWLAR,Southwest Louisiana Association of REALTORSÂ®,31
allen-parish-la,"Allen Parish, LA",SOLO_4113,SOLO_4113,Latter & Blum ERA Powered,0
allen-parish-la,"Allen Parish, LA",SOLO_4180,SOLO_4180,ERA Moffett,1
allendale-sc,"Allendale, SC",SC_BCAR,SC_BCAR,Beaufort County Association of Realtors,3
allendale-sc,"Allendale, SC",SC_HHMLS,SC_HHMLS,Multiple Listing Service of Hilton Head Island,6
allendale-sc,"Allendale, SC",SC_SBR,SC_SBR,Sumter Board of Realtors,0
allendale-sc,"Allendale, SC",SC_SMAR,SC_SMAR,Southern Midlands Association of Realtors,0
alma-mi,"Alma, MI",MI_GLAR,MI_GLAR,Greater Lansing Association of Realtors,39
alma-mi,"Alma, MI",MI_MBOR,MI_MBOR,Midland Board of Realtors,2
alma-mi,"Alma, MI",MI_NGLRMLS,MI_NGLRMLS,Northern Great Lakes REALTORS MLS,278
alma-mi,"Alma, MI",MI_REALSOURCE,MI_REALSOURCE,"MiRealSource, Inc.",15
alpena-mi,"Alpena, MI",MI_FAAR,MI_FAAR,Flint Area Association of Realtors,1
alpena-mi,"Alpena, MI",MI_GSAR,MI_GSAR,Greater Shiawassee Association of REALTORS,2
alpena-mi,"Alpena, MI",MI_NGLRMLS,MI_NGLRMLS,Northern Great Lakes REALTORS MLS,5
alpena-mi,"Alpena, MI",MI_REALCOMP,MI_REALCOMP,Realcomp II LTD,4
alpena-mi,"Alpena, MI",MI_WWBR,MI_WWBR,Water Wonderland Board of REALTORS,388
altoona-pa,"Altoona, PA",PA_AHAR,PA_AHAR,Allegheny Highlands Association of REALTORS,629
altoona-pa,"Altoona, PA",PA_CCAR,PA_CCAR,Centre County Association of REALTORSÂ® MLS,24
altus-ok,"Altus, OK",OK_LBR,OK_LBR,Lawton Board of REALTORS,1
altus-ok,"Altus, OK",OK_OKC,MLSOK,MLSOK,163
amador-calaveras-ca,"Amador and Calaveras Counties, CA",CABAREIS,BAREIS MLS,"Bay Area Real Estate Information Services, Inc.",12
amador-calaveras-ca,"Amador and Calaveras Counties, CA",CALREDD,CRMLS (Norcal),California Regional MLS (Northern California),10
amador-calaveras-ca,"Amador and Calaveras Counties, CA",CAMAXMLS,EBRD,"East Bay Regional Data, Inc.",4
amador-calaveras-ca,"Amador and Calaveras Counties, CA",CAREIL,MLSListings,MLSListings Inc.,6
amador-calaveras-ca,"Amador and Calaveras Counties, CA",CA_ACAR,CA_ACAR,Amador County Association of REALTORS,528
amador-calaveras-ca,"Amador and Calaveras Counties, CA",CA_CCAR,CA_CCAR,Calaveras County Association of Realtors,810
amador-calaveras-ca,"Amador and Calaveras Counties, CA",CA_TCAR,CA_TCAR,Tuolumne County Association of Realtors,12
amador-calaveras-ca,"Amador and Calaveras Counties, CA",MFMLS,MetroList,"MetroList Services, Inc.",459
amarillo-tx,"Amarillo, TX",GDAR,NTREIS,North Texas Real Estate Information Systems,2
amarillo-tx,"Amarillo, TX",TX_AAOR,TX_AAOR,Amarillo Association of Realtors,1719
amelia-island,"Amelia Island, FL",FL_AINCAR,FL_AINCAR,Amelia Island - Nassau County Association of Realtors,901
amelia-island,"Amelia Island, FL",FL_FCAR,FL_FCAR,Flagler County Association of Realtors,1
amelia-island,"Amelia Island, FL",FL_SASJCBR,FL_SASJCBR,St. Augustine & St. Johns County Board of Realtors,2
amelia-island,"Amelia Island, FL",JV,Flex MLS,"Northeast Florida MLS, Inc.",423
americus-ga,"Americus, GA",FIRSTMLS,FMLS,First Multiple Listing Service,2
americus-ga,"Americus, GA",GA_ABOR,GA_ABOR,Americus Board of Realtors,233
americus-ga,"Americus, GA",GA_CBR,GA_CBR,Columbus Board of Realtors,1
americus-ga,"Americus, GA",GA_CGMLS,GA_CGMLS,Central Georgia MLS,4
americus-ga,"Americus, GA",GA_CRISP,GA_CRISP,Crisp Area Board of Realtors Inc,24
americus-ga,"Americus, GA",GA_SWGBR,GA_SWGBR,Southwest Georgia Board of Realtors,12
americus-ga,"Americus, GA",GA_TIFT,GA_TIFT,Tiftarea Board of REALTORSÂ®,1
americus-ga,"Americus, GA",METROMLS,GAMLS,Georgia Multiple Listing Service,7
ames-ia,"Ames, IA",IA_CIBR,IA_CIBR,Central Iowa Board of Realtors,441
ames-ia,"Ames, IA",IA_DMAAR,IA_DMAAR,Des Moines Area Association of REALTORS,144
anaconda-mt,"Anaconda, MT",MT_BAR,MT_BAR,Billings Association of Realtors,0
anaconda-mt,"Anaconda, MT",MT_BZM,MT_BZM,Gallatin Association of Realtors,27
anaconda-mt,"Anaconda, MT",MT_NMAR,Montana Regional MLS,Montana Regional MLS,98
anchorage-ak,"Anchorage, AK",AK_AMLS,AK_AMLS,Alaska Multiple Listing Service,3542
andrews-tx,"Andrews, TX",TX_OBOR,TX_OBOR,Odessa Board of Realtors,167
andrews-tx,"Andrews, TX",TX_PBBOR,TX_PBBOR,Permian Basin Board of Realtors,17
angola-in,"Angola, IN",IN_LBAR,IN_LBAR,Indiana Regional MLS,550
ann-arbor-mi,"Ann Arbor, MI",MI_FAAR,MI_FAAR,Flint Area Association of Realtors,2404
ann-arbor-mi,"Ann Arbor, MI",MI_GLAR,MI_GLAR,Greater Lansing Association of Realtors,1
ann-arbor-mi,"Ann Arbor, MI",MI_GRAR,MichRIC,Michigan Regional Information Center,19
ann-arbor-mi,"Ann Arbor, MI",MI_GSAR,MI_GSAR,Greater Shiawassee Association of REALTORS,4099
ann-arbor-mi,"Ann Arbor, MI",MI_JMLS,MI_JMLS,Jackson Association of Realtors,4107
ann-arbor-mi,"Ann Arbor, MI",MI_LCAR,MI_LCAR,Lenawee County Association of Realtors,503
ann-arbor-mi,"Ann Arbor, MI",MI_REALCOMP,MI_REALCOMP,Realcomp II LTD,2666
ann-arbor-mi,"Ann Arbor, MI",MI_REALSOURCE,MI_REALSOURCE,"MiRealSource, Inc.",4617
anna-il,"Anna, IL",IL_EBOR,IL_EBOR,Egyptian Board of REALTORS,150
anna-il,"Anna, IL",MO_MARIS,MO_MARIS,Mid America Regional Information System,1
anniston-al,"Anniston, AL",AL_BAMLS,AL_BAMLS,Greater Alabama (Birmingham area) MLS,1067
anniston-al,"Anniston, AL",AL_NALMLS,AL_NALMLS,North Alabama MLS,23
anniston-al,"Anniston, AL",METROMLS,GAMLS,Georgia Multiple Listing Service,2
antelope-valley,"Antelope Valley, CA",BF,BF,Bakersfield Multiple Listing Service,45
antelope-valley,"Antelope Valley, CA",CARETS,CARETS,"CARETS, CLAW, CRISNet MLS, i-Tech MLS, PSRMLS and/or VCRDS",1523
antelope-valley,"Antelope Valley, CA",CARETS_VCMLS,VCRDS (CARETS),Ventura County Regional Data Share (CARETS),17
antelope-valley,"Antelope Valley, CA",CA_DAMLS,DAMLS,Desert Area MLS,143
antelope-valley,"Antelope Valley, CA",CRMLS,CRMLS (Socal),California Regional MLS (Southern California),637
antelope-valley,"Antelope Valley, CA",CRMLS_CDAR,DAMLS (CARETS/CRMLS),Desert Area MLS (CARETS/CRMLS),6
antelope-valley,"Antelope Valley, CA",GAVAR,GAVAR,Greater Antelope Valley Association of REALTORS,2697
antelope-valley,"Antelope Valley, CA",MS_MLSOJ,MS_MLSOJ,"Multiple Listing Service of Jackson, MS, Inc.",10
antelope-valley,"Antelope Valley, CA",VVMLS,HDAOR,High Desert Association of REALTORS,77
antigo-wi,"Antigo, WI",WI_GNMLS,WI_GNMLS,Greater Northwoods Multiple Listing Service,321
antigo-wi,"Antigo, WI",WI_WIREX,WI_WIREX,Wisconsin Real Estate Exchange,189
antrim-county-mi,"Antrim County, MI",MI_NGLRMLS,MI_NGLRMLS,Northern Great Lakes REALTORS MLS,913
antrim-county-mi,"Antrim County, MI",MI_NMMLS,MI_NMMLS,Emmet Association of Realtors Â¿ Northern Michigan MLS,88
antrim-county-mi,"Antrim County, MI",MI_WWBR,MI_WWBR,Water Wonderland Board of REALTORS,89
arcadia-fl,"Arcadia, FL",FL_GFMB,SW FLorida MLS,Southwest Florida MLS,9
arcadia-fl,"Arcadia, FL",JV,Flex MLS,"Northeast Florida MLS, Inc.",2
arcadia-fl,"Arcadia, FL",MFRMLS,MFRMLS,My Florida Regional MLS,290
arenac-iosco-ogemaw-mi,"Arenac, Iosco, and Ogemaw Counties, MI",MI_BCRA,MI_BCRA,Bay County Realtors Association,66
arenac-iosco-ogemaw-mi,"Arenac, Iosco, and Ogemaw Counties, MI",MI_FAAR,MI_FAAR,Flint Area Association of Realtors,54
arenac-iosco-ogemaw-mi,"Arenac, Iosco, and Ogemaw Counties, MI",MI_GSAR,MI_GSAR,Greater Shiawassee Association of REALTORS,106
arenac-iosco-ogemaw-mi,"Arenac, Iosco, and Ogemaw Counties, MI",MI_JMLS,MI_JMLS,Jackson Association of Realtors,31
arenac-iosco-ogemaw-mi,"Arenac, Iosco, and Ogemaw Counties, MI",MI_MBOR,MI_MBOR,Midland Board of Realtors,10
arenac-iosco-ogemaw-mi,"Arenac, Iosco, and Ogemaw Counties, MI",MI_NGLRMLS,MI_NGLRMLS,Northern Great Lakes REALTORS MLS,1277
arenac-iosco-ogemaw-mi,"Arenac, Iosco, and Ogemaw Counties, MI",MI_PBBR,MI_PBBR,Paul Bunyan Board of Realtors,23
arenac-iosco-ogemaw-mi,"Arenac, Iosco, and Ogemaw Counties, MI",MI_REALCOMP,MI_REALCOMP,Realcomp II LTD,67
arenac-iosco-ogemaw-mi,"Arenac, Iosco, and Ogemaw Counties, MI",MI_REALSOURCE,MI_REALSOURCE,"MiRealSource, Inc.",115
arenac-iosco-ogemaw-mi,"Arenac, Iosco, and Ogemaw Counties, MI",MI_WWBR,MI_WWBR,Water Wonderland Board of REALTORS,14
arkadelphia-ar,"Arkadelphia, AR",AR_CARMLS,AR_CARMLS,Cooperative Arkansas Multiple Listing Service,449
arkadelphia-ar,"Arkadelphia, AR",AR_EDBR,AR_EDBR,El Dorado Board of Realtors,3
arkadelphia-ar,"Arkadelphia, AR",AR_HSBOR,AR_HSBOR,Hot Springs Board of Realtors,105
aroostook-me,"Aroostook County, ME",ME_MREIS,ME_MREIS,Maine Real Estate Information System,1258
ashburn-ga,"Ashburn, GA",GA_CRISP,GA_CRISP,Crisp Area Board of Realtors Inc,6
ashburn-ga,"Ashburn, GA",GA_SWGBR,GA_SWGBR,Southwest Georgia Board of Realtors,3
ashburn-ga,"Ashburn, GA",GA_TIFT,GA_TIFT,Tiftarea Board of REALTORSÂ®,36
ashe-county-nc,"Ashe County, NC",CH,"Carolina MLS, Inc.","Carolina Multiple Listing Services, Inc.",8
ashe-county-nc,"Ashe County, NC",NC_BCBR,NC_BCBR,Burke County Board of Realtors Multiple Listing Service,0
ashe-county-nc,"Ashe County, NC",NC_CVAR,NC_CVAR,Catawba Valley Association of Realtors,1
ashe-county-nc,"Ashe County, NC",NC_HCAR,NC_HCAR,"High Country Association of REALTORS, Inc.",1408
ashe-county-nc,"Ashe County, NC",NC_TRIAD,NC_TRIAD,"Triad MLS, Inc",33
ashe-county-nc,"Ashe County, NC",NC_WNCRMLS,NC_WNCRMLS,North Carolina Mountain MLS,0
ashe-county-nc,"Ashe County, NC",RD,RD,"Triangle MLS, Inc. of North Carolina",1
ashe-county-nc,"Ashe County, NC",TNVA_MLS,TNVA_MLS,Tennessee Virginia Regional MLS,0
ashe-county-nc,"Ashe County, NC",VA_SWVAR,VA_SWVAR,Southwest Virginia Association of REALTORS,1
asheville-nc,"Asheville, NC",CH,"Carolina MLS, Inc.","Carolina Multiple Listing Services, Inc.",17
asheville-nc,"Asheville, NC",NC_CCAR,NCRMLS,North Carolina Regional MLS,1
asheville-nc,"Asheville, NC",NC_CVAR,NC_CVAR,Catawba Valley Association of Realtors,1
asheville-nc,"Asheville, NC",NC_MDBR,NC_MDBR,McDowell County Board of REALTORS,1
asheville-nc,"Asheville, NC",NC_WNCRMLS,NC_WNCRMLS,North Carolina Mountain MLS,8999
asheville-nc,"Asheville, NC",ND_MBR,ND_MBR,Minot Board of REALTORS,0
asheville-nc,"Asheville, NC",RD,RD,"Triangle MLS, Inc. of North Carolina",10
ashland-ky,"Ashland, KY",KY_AABR,KY_AABR,Ashland Area Board Of REALTORS,731
ashland-ky,"Ashland, KY",KY_LBAR,KY_LBAR,Lexington-Bluegrass Association of Realtors,6
ashland-ky,"Ashland, KY",KY_MCBR,KY_MCBR,Madison County Board of REALTORS,0
ashland-ky,"Ashland, KY",OH_GPAMLS,OH_GPAMLS,Greater Portsmouth Area Multiple Listing Service,9
ashland-ky,"Ashland, KY",WV_HBR,WV_HBR,Huntington Board of REALTORSÂ®,19
ashland-oh,"Ashland, OH",OH_ABR,OH_ABR,Ashland Board of REALTORS,157
ashland-oh,"Ashland, OH",OH_FMLS,OH_FMLS,Firelands Association of Realtors,11
ashland-oh,"Ashland, OH",OH_MBOR,OH_MBOR,Mansfield Board of REALTORS,47
ashland-oh,"Ashland, OH",OH_NORMLS,OH_NORMLS,"Northern Ohio Regional Multiple Listing Service, Inc.",71
astoria-or,"Astoria, OR",OR_LCBR,OR_LCBR,Lincoln County Board of REALTORS,6
astoria-or,"Astoria, OR",OR_WVMLS,OR_WVMLS,Willamette Valley Multiple Listing Service,4
astoria-or,"Astoria, OR",PORTLAND,RMLS,RMLS,546
athens-ga,"Athens, GA",AL_NALMLS,AL_NALMLS,North Alabama MLS,1
athens-ga,"Athens, GA",FIRSTMLS,FMLS,First Multiple Listing Service,151
athens-ga,"Athens, GA",GA_AAAR,GA_AAAR,Athens Area Association of REALTORS,1104
athens-ga,"Athens, GA",GA_HWSBR,GA_HWSBR,"Habersham, White, Stephens Association of Realtors",2
athens-ga,"Athens, GA",GA_LCBOR,GA_LCBOR,Lake Country Board Of REALTORS,2
athens-ga,"Athens, GA",METROMLS,GAMLS,Georgia Multiple Listing Service,938
athens-oh,"Athens, OH",OH_CBR,OH_CBR,Columbus and Central Ohio Regional MLS,21
athens-oh,"Athens, OH",OH_CINCY,OH_CINCY,"MLS of Greater Cincinnati, Inc.",0
athens-oh,"Athens, OH",OH_DABR,OH_DABR,Dayton Area Board of Realtors,0
athens-oh,"Athens, OH",OH_LMLS,OH_LMLS,Lancaster Multiple Listing Service,1
athens-oh,"Athens, OH",OH_NORMLS,OH_NORMLS,"Northern Ohio Regional Multiple Listing Service, Inc.",2
athens-oh,"Athens, OH",OH_SVAOR,OH_SVAOR,Scioto Valley Association of REALTORS,1
athens-tn,"Athens, TN",TN_CAR,TN_CAR,Greater Chattanooga Association of Realtors,82
athens-tn,"Athens, TN",TN_KAAR,TN_KAAR,Knoxville Area Association of REALTORS,1670
athens-tn,"Athens, TN",TN_RCAR,TN_RCAR,River Counties Association of Realtors,801
athens-tx,"Athens, TX",GDAR,NTREIS,North Texas Real Estate Information Systems,968
athens-tx,"Athens, TX",SOLO_4110,SOLO_4110,ERA The Property Shoppe,10
athens-tx,"Athens, TX",TX_GTAR,TX_GTAR,Greater Tyler Association of Realtors,347
athens-tx,"Athens, TX",TX_LAAR,TX_LAAR,Longview Area Association of Realtors,2
atlanta,"Atlanta, GA",AL_NALMLS,AL_NALMLS,North Alabama MLS,1
atlanta,"Atlanta, GA",FIRSTMLS,FMLS,First Multiple Listing Service,30535
atlanta,"Atlanta, GA",FL_AINCAR,FL_AINCAR,Amelia Island - Nassau County Association of Realtors,424
atlanta,"Atlanta, GA",FL_SASJCBR,FL_SASJCBR,St. Augustine & St. Johns County Board of Realtors,1
atlanta,"Atlanta, GA",GA_AAAR,GA_AAAR,Athens Area Association of REALTORS,376
atlanta,"Atlanta, GA",GA_CBR,GA_CBR,Columbus Board of Realtors,140
atlanta,"Atlanta, GA",GA_CCAR,GA_CCAR,Carpet Capital Association of REALTORS,28
atlanta,"Atlanta, GA",GA_CGMLS,GA_CGMLS,Central Georgia MLS,3
atlanta,"Atlanta, GA",GA_HWSBR,GA_HWSBR,"Habersham, White, Stephens Association of Realtors",575
atlanta,"Atlanta, GA",GA_LCBOR,GA_LCBOR,Lake Country Board Of REALTORS,21
atlanta,"Atlanta, GA",GA_MGAR,GA_MGAR,Middle Georgia Association of REALTORS,48
atlanta,"Atlanta, GA",GA_MMLS,GA_MMLS,Milledgeville Multiple Listing Service,2
atlanta,"Atlanta, GA",GA_SWGBR,GA_SWGBR,Southwest Georgia Board of Realtors,42
atlanta,"Atlanta, GA",GA_VBR,GA_VBR,Valdosta Board of REALTORS,1
atlanta,"Atlanta, GA",JV,Flex MLS,"Northeast Florida MLS, Inc.",124
atlanta,"Atlanta, GA",METROMLS,GAMLS,Georgia Multiple Listing Service,34036
atlanta,"Atlanta, GA",NEG,NEG,North East Georgia MLS,194
atlanta,"Atlanta, GA",TN_CAR,TN_CAR,Greater Chattanooga Association of Realtors,6
atlanta-mi,"Atlanta, MI",MI_REALSOURCE,MI_REALSOURCE,"MiRealSource, Inc.",7
atlanta-mi,"Atlanta, MI",MI_WWBR,MI_WWBR,Water Wonderland Board of REALTORS,133
atlantic-city,"Atlantic City, NJ",NJ_CMCAR,NJ_CMCAR,Cape May Association of Realtors,38
atlantic-city,"Atlantic City, NJ",NJ_GSMLS,NJ_GSMLS,Garden State Multiple Listing Service,1
atlantic-city,"Atlantic City, NJ",NJ_MLS,NJ_MLS,New Jersey MLS,2
atlantic-city,"Atlantic City, NJ",NJ_MOMLS,NJ_MOMLS,Monmouth County Association of REALTORS,15
atlantic-city,"Atlantic City, NJ",NJ_OCBR,NJ_OCBR,Ocean County Board of REALTORS/Jersey Shore MLS,25
atlantic-city,"Atlantic City, NJ",NJ_SJSRMLS,NJ_SJSRMLS,South Jersey Shore Regional MLS,3839
atlantic-city,"Atlantic City, NJ",TRENDMLS,TRENDMLS,TREND MLS.,397
auburn-al,"Auburn, AL",AL_BAMLS,AL_BAMLS,Greater Alabama (Birmingham area) MLS,1
auburn-al,"Auburn, AL",AL_LCAR,AL_LCAR,Lee County Association of Realtors,641
auburn-al,"Auburn, AL",AL_LMAAR,AL_LMAAR,Lake Martin Association of Realtors,12
auburn-al,"Auburn, AL",AL_MLSM,AL_MLSM,Montgomery Area Association of REALTORS,4
auburn-al,"Auburn, AL",AL_PCBR,AL_PCBR,Phenix City Board of REALTORS,283
auburn-al,"Auburn, AL",GA_CBR,GA_CBR,Columbus Board of Realtors,88
auburn-al,"Auburn, AL",METROMLS,GAMLS,Georgia Multiple Listing Service,11
auburn-in,"Auburn, IN",IN_LBAR,IN_LBAR,Indiana Regional MLS,325
