METRO_CODE,METRO_NAME,MLS_CODE,MLS_SHORT_NAME,MLS_LONG_NAME,NUM_LISTINGS
columbus,"Columbus, OH",OH_CBR,OH_CBR,Columbus and Central Ohio Regional MLS,5796
columbus,"Columbus, OH",OH_CINCY,OH_CINCY,"MLS of Greater Cincinnati, Inc.",3
columbus,"Columbus, OH",OH_DABR,OH_DABR,Dayton Area Board of Realtors,5
columbus,"Columbus, OH",OH_KCBR,OH_KCBR,Knox County Board of REALTORS,3
columbus,"Columbus, OH",OH_LMLS,OH_LMLS,Lancaster Multiple Listing Service,16
columbus,"Columbus, OH",OH_MBOR,OH_MBOR,Mansfield Board of REALTORS,24
columbus,"Columbus, OH",OH_MBR,OH_MBR,Marion Board of Realtors,17
columbus,"Columbus, OH",OH_NORMLS,OH_NORMLS,"Northern Ohio Regional Multiple Listing Service, Inc.",21
columbus,"Columbus, OH",OH_SVAOR,OH_SVAOR,Scioto Valley Association of REALTORS,29
columbus,"Columbus, OH",OH_WCAR,OH_WCAR,West Central Association of Realtors,3
columbus,"Columbus, OH",OH_WRIST,OH_WRIST,"Western Regional Information Systems and Technology, Inc.",35
columbus-tx,"Columbus, TX",ACTRIS,ACTRIS,"Austin and Central Texas Realty Information Systems, Inc.",0
columbus-tx,"Columbus, TX",AR_NWAR,AR_NWAR,Arkansas Regional MLS,0
columbus-tx,"Columbus, TX",HARMLS,HRMLS,"Houston Realtors Information Service, Inc.",149
columbus-tx,"Columbus, TX",TX_VAAR,TX_VAAR,Victoria Area Association of Realtors,0
comanche-tx,"Comanche, TX",GDAR,NTREIS,North Texas Real Estate Information Systems,152
concho-county-tx,"Concho County, TX",TX_SAAR,TX_SAAR,San Angelo Association of Realtors,76
condon-or,"Condon, OR",PORTLAND,RMLS,RMLS,17
connersville-in,"Connersville, IN",IN_MIBOR,IN_MIBOR,Metropolitan Indianapolis Board of Realtors,23
connersville-in,"Connersville, IN",IN_RAR,IN_RAR,Richmond Association of REALTORS,36
cook-county-mn,"Cook County, MN",MN_DAAR,MN_DAAR,Duluth Area Association of REALTORS,478
cook-county-mn,"Cook County, MN",MN_RAOR,MN_RAOR,Range Association of REALTORS,0
cook-county-mn,"Cook County, MN",NSMLS,NorthStarMLS,"Regional Multiple Listing Service of Minnesota, Inc",18
coos-county-or,"Coos County, OR",OR_MLCOBO,OR_MLCOBO,Central Oregon Association of REALTORS,13
coos-county-or,"Coos County, OR",OR_SOMLS,OR_SOMLS,Southern Oregon MLS/ Rogue Valley Association of REALTORSÂ®,6
coos-county-or,"Coos County, OR",PORTLAND,RMLS,RMLS,853
cordele-ga,"Cordele, GA",FIRSTMLS,FMLS,First Multiple Listing Service,3
cordele-ga,"Cordele, GA",GA_ABOR,GA_ABOR,Americus Board of Realtors,5
cordele-ga,"Cordele, GA",GA_CGMLS,GA_CGMLS,Central Georgia MLS,14
cordele-ga,"Cordele, GA",GA_CRISP,GA_CRISP,Crisp Area Board of Realtors Inc,232
cordele-ga,"Cordele, GA",GA_SWGBR,GA_SWGBR,Southwest Georgia Board of Realtors,7
cordele-ga,"Cordele, GA",GA_TIFT,GA_TIFT,Tiftarea Board of REALTORSÂ®,10
cordele-ga,"Cordele, GA",GA_VBR,GA_VBR,Valdosta Board of REALTORS,0
cordele-ga,"Cordele, GA",METROMLS,GAMLS,Georgia Multiple Listing Service,9
corinth-ms,"Corinth, MS",MS_FCBR,MS_FCBR,Four County Board of Realtors,181
corinth-ms,"Corinth, MS",MS_NCMR,MS_NCMR,North Central Mississippi REALTORS,0
corinth-ms,"Corinth, MS",MS_NEMBOR,MS_NEMBOR,Northeast Mississippi Board of Realtors,15
corinth-ms,"Corinth, MS",MS_NWMAR,MS_NWMAR,Northwest Mississippi Association of REALTORS,1
corinth-ms,"Corinth, MS",TN_MAAR,TN_MAAR,Memphis Area Association of REALTORS,3
corning,"Corning, NY",NY_ECAR,NY_ECAR,The Elmira-Corning Regional Association of Realtors,3
corpuschristi,"Corpus Christi, TX",HARMLS,HRMLS,"Houston Realtors Information Service, Inc.",16
corpuschristi,"Corpus Christi, TX",SABOR,SABOR,San Antonio Board of Realtors,47
corpuschristi,"Corpus Christi, TX",TX_CCAR,TX_CCAR,Coastal Bend MLS,3732
corpuschristi,"Corpus Christi, TX",TX_GMAR,TX_GMAR,Greater McAllen Association of REALTORS,1
corpuschristi,"Corpus Christi, TX",TX_KAAR,TX_KAAR,Kingsville Area Association of REALTORS,29
corpuschristi,"Corpus Christi, TX",TX_RAAR,TX_RAAR,Rockport Area Association of REALTORS,926
corpuschristi,"Corpus Christi, TX",TX_VAAR,TX_VAAR,Victoria Area Association of Realtors,12
cortez-co,"Cortez, CO",CO_CREN,CO_CREN,Colorado Real Estate Network,732
cortland-ny,"Cortland, NY",NY_GBAR,NY_GBAR,Greater Binghamton Association of Realtors,24
cortland-ny,"Cortland, NY",NY_GENRIS,NYSAMLS,New York State Alliance,242
cortland-ny,"Cortland, NY",NY_IBR,NY_IBR,Ithaca Board of Realtors,68
cortland-ny,"Cortland, NY",NY_ODBR,NY_ODBR,Otsego-Delaware Board of REALTORS,5
cortland-ny,"Cortland, NY",SOLO_4181,SOLO_4181,Hunt Real Estate ERA,3
cortland-ny,"Cortland, NY",SOLO_4181_AZ,SOLO_4181_AZ,Hunt Real Estate ERA (Phoenix),1
coshocton-oh,"Coshocton, OH",OH_CBR,OH_CBR,Columbus and Central Ohio Regional MLS,14
coshocton-oh,"Coshocton, OH",OH_KCBR,OH_KCBR,Knox County Board of REALTORS,6
coshocton-oh,"Coshocton, OH",OH_NORMLS,OH_NORMLS,"Northern Ohio Regional Multiple Listing Service, Inc.",189
council-grove-ks,"Council Grove, KS",KS_HMLS,KS_HMLS,Hays Multiple Listing Service,75
council-grove-ks,"Council Grove, KS",KS_JCBR,KS_JCBR,Junction City Board of REALTORSÂ®,79
council-grove-ks,"Council Grove, KS",KS_MAR,KS_MAR,Manhattan Association of Realtors,8
council-id,"Council, ID",ID_IMLS,ID_IMLS,Intermountain Multiple Listing Service,159
council-id,"Council, ID",ID_MCAR,ID_MCAR,Mountain Central Association of REALTORS,135
covington-county-al,"Covington County, AL",AL_BAMLS,AL_BAMLS,Greater Alabama (Birmingham area) MLS,0
covington-county-al,"Covington County, AL",AL_CCAR,AL_CCAR,Covington Association of Realtors,503
covington-county-al,"Covington County, AL",AL_DMLS,AL_DMLS,Dothan Multiple Listing Service,3
covington-county-al,"Covington County, AL",AL_MLSM,AL_MLSM,Montgomery Area Association of REALTORS,1
covington-county-al,"Covington County, AL",AL_WBOR,AL_WBOR,Wiregrass Board of Realtors,15
covington-county-al,"Covington County, AL",FL_ECAR,FL_ECAR,Emerald Coast AOR/Data Services of the Gulf Coast,8
craig-county-ok,"Craig County, OK",AR_NWAR,AR_NWAR,Arkansas Regional MLS,2
craig-county-ok,"Craig County, OK",OK_NOBOR,OK_NOBOR,Northeast Oklahoma Board of REALTORSÂ®,50
craig-county-ok,"Craig County, OK",OK_NORES,OK_NORES,"Northeast Oklahoma Real Estate Services, Inc",46
crawford-county-il,"Crawford County, IL",IL_CIBOR,IL_CIBOR,Central Illinois Board of Realtors MLS,59
crawford-richland-vernon-wi,"Crawford, Richland, and Vernon Countes, WI",MLSNI,MRED,Midwest Real Estate Data LLC,0
crawford-richland-vernon-wi,"Crawford, Richland, and Vernon Countes, WI",NSMLS,NorthStarMLS,"Regional Multiple Listing Service of Minnesota, Inc",1
crawford-richland-vernon-wi,"Crawford, Richland, and Vernon Countes, WI",WI_WIREX,WI_WIREX,Wisconsin Real Estate Exchange,679
crittenden-county-ar,"Crittenden County, AR",AR_CARMLS,AR_CARMLS,Cooperative Arkansas Multiple Listing Service,5
crittenden-county-ar,"Crittenden County, AR",AR_CCBOR,AR_CCBOR,Eastern Arkansas REALTORSÂ® Association,277
crittenden-county-ar,"Crittenden County, AR",AR_JBOR,AR_JBOR,Jonesboro Board of REALTORS,1
crockett-tx,"Crockett, TX",GDAR,NTREIS,North Texas Real Estate Information Systems,8
crockett-tx,"Crockett, TX",HARMLS,HRMLS,"Houston Realtors Information Service, Inc.",217
crockett-tx,"Crockett, TX",TX_BCSR,TX_BCSR,Bryan-College Station Regional Multiple Listing Service,0
crockett-tx,"Crockett, TX",TX_GTAR,TX_GTAR,Greater Tyler Association of Realtors,7
crockett-tx,"Crockett, TX",TX_JMLS,TX_JMLS,Jasper Area Board of Realtors,20
crockett-tx,"Crockett, TX",TX_LAOR,TX_LAOR,Lufkin Association of Realtors,6
cross-city-fl,"Cross City, FL",FL_GACAR,FL_GACAR,Gainesville-Alachua County Association of REALTORS,48
cross-city-fl,"Cross City, FL",FL_HCAR,FL_HCAR,Hernando County Association of Realtors,0
cross-city-fl,"Cross City, FL",FL_NFMLS,FL_NFMLS,Lake City Board of REALTORS,8
cross-city-fl,"Cross City, FL",FL_OCALA,FL_OCALA,Ocala/Marion County Association of Realtors,3
